,Binomial,Order,Family,Mass.g,Mass.Method,Mass.Source,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,AL,Source,HYP.x,LOP.x,Fully.coded,Genus,Species,Synonym,massg,HYP.y,LOP.y,FCT_HOD,FCT_AL,FCT_OL,FCT_SF,FCT_OT,FCT_CM,OO,ETH,LOPT,BUN
1,Addax_nasomaculatus,Cetartiodactyla,Bovidae,70000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Addax,nasomaculatus,NA,70000.3,3,2,1,0,1,1,0,0,0,0,0,0
2,Aepyceros_melampus,Cetartiodactyla,Bovidae,52500.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Aepyceros,melampus,NA,52500.1,3,2,1,0,1,0,0,0,1,0,0,0
3,Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,171001.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Alcelaphus,buselaphus,NA,171001.5,3,2,1,0,1,0,1,0,0,0,0,0
4,Alces_alces,Cetartiodactyla,Cervidae,356998,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",1,"Galbrun et al., ",1,2,Y,Alces,alces,NA,356998,1,2,1,1,1,0,0,0,0,0,0,0
5,Allochrocebus_lhoesti,Primates,Cercopithecidae,5375,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,10,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Allochrocebus,lhoesti,NA,5375,1,0,1,0,0,0,0,0,0,0,0,1
6,Allochrocebus_preussi,Primates,Cercopithecidae,5250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,10,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Allochrocebus,preussi,NA,5250,1,0,1,0,0,0,0,0,0,0,0,1
7,Allochrocebus_solatus,Primates,Cercopithecidae,6500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,10,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Allochrocebus,solatus,NA,6500,1,0,1,0,0,0,0,0,0,0,0,1
8,Alouatta_arctoidea,Primates,Atelidae,5390,Reported,Primate Conservation 9: 61-66(1988),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,arctoidea,NA,5390,1,1,1,0,0,0,0,0,0,0,0,1
9,Alouatta_belzebul,Primates,Atelidae,6400,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,belzebul,NA,6400,1,1,1,0,0,0,0,0,0,0,0,1
10,Alouatta_caraya,Primates,Atelidae,5862.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,caraya,NA,5862.5,1,1,1,0,0,0,0,0,0,0,0,1
