,Genus,Massg,LogMass,Order_Artiodactyla,Order_Carnivora,Order_Cetartiodactyla,Order_Chiroptera,Order_Dermoptera,Order_Eulipotyphla,Order_Hyracoidea,Order_Lagomorpha,Order_Perissodactyla,Order_Pholidota,Order_Primates,Order_Proboscidea,Order_Rodentia,Order_Scandentia,Family_Ailuridae,Family_Amphicyonidae,Family_Anthracotheriidae,Family_Bovidae,Family_Camelidae,Family_Canidae,Family_Castoridae,Family_Cercopithecidae,Family_Cervidae,Family_Chalicotheriidae,Family_Cricetidae,Family_Cynocephalidae,Family_Deinotheriidae,Family_Dipodidae,Family_Elephantidae,Family_Emballonuridae,Family_Eomyidae,Family_Equidae,Family_Erinaceidae,Family_Felidae,Family_Giraffidae,Family_Gliridae,Family_Gomphotheriidae,Family_Herpestidae,Family_Heterosoricidae,Family_Hippopotamidae,Family_Hipposideridae,Family_Hominidae,Family_Hyaenidae,Family_Hylobatidae,Family_Hystricidae,Family_Leporidae,Family_Litocheridae,Family_Lorisidae,Family_Mammutidae,Family_Manidae,Family_Megadermatidae,Family_Miniopteridae,Family_Molossidae,Family_Moschidae,Family_Muridae,Family_Mustelidae,Family_Ochotonidae,Family_Platacanthomyidae,Family_Pliohyracidae,Family_Prionodontidae,Family_Prolagidae,Family_Pteropodidae,Family_Rhinocerotidae,Family_Rhinolophidae,Family_Sciuridae,Family_Soricidae,Family_Spalacidae,Family_Stegodontidae,Family_Suidae,Family_Talpidae,Family_Tapiridae,Family_Tragulidae,Family_Tupaiidae,Family_Ursidae,Family_Vespertilionidae,Family_Viverravidae,Family_Viverridae,Diet_Herbivore,Diet_Non-Herbivore,HYP_Mean,LOP_Mean
0,Abudhabia,134.3146939,2.128123527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0
1,Aceratherium,1099005.843,6.041000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0
2,Acinonyx,46700.0,4.669316881,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0
3,Aepyosciurus,286.0,2.456366033,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,2.0
4,Aeretes,732.4,2.864748336,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0
5,Agriotherium,417590.2575,5.620750358,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0
6,Ailuropoda,108400.0,5.035029282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,2.0
7,Ailurus,4900.0,3.69019608,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0
8,Alactagulus,51.18235294,1.709120247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0
9,Alcelaphus,171001.5,5.23299992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,2.0
