Genus,Order,Family,MassSource,Massg,LogMass,LargeSmall,SizeClass,Diet,DietSource
Abudhabia,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,small,Herbivore,Phylacine
Aceratherium,Perissodactyla,Rhinocerotidae,Cooke,1099005.843,6.041000001,Large,large,Herbivore,Phylacine
Acinonyx,Carnivora,Felidae,Phylacine,46700,4.669316881,Large,large,Non-Herbivore,Phylacine
Aepyosciurus,Rodentia,Sciuridae,NOW,286,2.456366033,Small,small,Herbivore,Phylacine
Aeretes,Rodentia,Sciuridae,Phylacine,732.4,2.864748336,Small,small,Herbivore,Phylacine
Agriotherium,Carnivora,Ursidae,Cooke,417590.2575,5.620750358,Large,large,Non-Herbivore,Sorkin 2007
Ailuropoda,Carnivora,Ursidae,Phylacine,108400,5.035029282,Large,large,Non-Herbivore,Phylacine
Ailurus,Carnivora,Ailuridae,Phylacine,4900,3.69019608,Large,medium,Non-Herbivore,Phylacine
Alactagulus,Rodentia,Dipodidae,Family average,51.18235294,1.709120247,Small,small,Herbivore,Phylacine
Alcelaphus,Artiodactyla,Bovidae,Phylacine,171001.5,5.23299992,Large,large,Herbivore,Phylacine
Alces,Cetartiodactyla,Cervidae,Phylacine,356998,5.552665783,Large,large,Herbivore,Phylacine
Alephis,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,large,Herbivore,Phylacine
Algarolutra,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,medium,Non-Herbivore,Willemsen 1992
Alilepus,Lagomorpha,Leporidae,Cooke,157.2818783,2.196678687,Small,small,Herbivore,Phylacine
Allactaga,Rodentia,Dipodidae,Phylacine,108.1083333,2.033859172,Small,small,Herbivore,Phylacine
Alloblarinella,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,small,Non-Herbivore,comparable to Sorex
Allocaenelaphus,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,large,Herbivore,Phylacine
Allocricetus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,small,Herbivore,Phylacine
Allophaiomys,Rodentia,Muridae,Cooke,46.94609366,1.671599461,Small,small,Herbivore,Phylacine
Alopex,Carnivora,Canidae,Pantheria,3600,3.556302501,Large,medium,Non-Herbivore,GroupAv
Alticola,Rodentia,Cricetidae,Phylacine,34.08333333,1.532542062,Small,small,Herbivore,Phylacine
Amblonyx,Carnivora,Mustelidae,Pantheria,3530,3.547774705,Large,medium,Non-Herbivore,Willemsen 1992
Ammotragus,Cetartiodactyla,Bovidae,Phylacine,48000,4.681241237,Large,large,Herbivore,Phylacine
Amphicyon,Carnivora,Amphicyonidae,Cooke,213781.4845,5.329970088,Large,large,Non-Herbivore,GroupAv
Anancus,Proboscidea,Gomphotheriidae,Family average,5855000,6.767526899,Large,large,Herbivore,Phylacine
Ancylotherium,Perissodactyla,Chalicotheriidae,Cooke,2779713.27,6.444,Large,large,Herbivore,Phylacine
Anisodon,Perissodactyla,Chalicotheriidae,Family average,2779713.27,6.444,Large,large,Herbivore,Phylacine
Anourosorex,Eulipotyphla,Soricidae,Phylacine,23.45,1.370142847,Small,small,Non-Herbivore,Phylacine
Antilope,Cetartiodactyla,Bovidae,Phylacine,37500,4.574031268,Large,medium,Herbivore,Phylacine
Antilospira,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,large,Herbivore,Phylacine
Antispiroides,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,large,Herbivore,Phylacine
Aonyx,Carnivora,Mustelidae,Phylacine,14849.2,4.171703057,Large,medium,Non-Herbivore,Phylacine
Apocricetus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,small,Herbivore,Phylacine
Apodemus,Rodentia,Muridae,Phylacine,31,1.491361694,Small,small,Non-Herbivore,Phylacine
Apomys,Rodentia,Muridae,Phylacine,53.52,1.728516105,Small,small,Herbivore,Phylacine
Archaeodesmana,Eulipotyphla,Talpidae,Cooke,79.2461181,1.898977997,Small,small,Non-Herbivore,GroupAv
Arctictis,Carnivora,Viverridae,Phylacine,9875,3.994537104,Large,medium,Non-Herbivore,Phylacine
Arctogalidia,Carnivora,Viverridae,Phylacine,2250,3.352182518,Large,medium,Non-Herbivore,Phylacine
Arctomeles,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,medium,Non-Herbivore,comparable to Meles
Arctonyx,Carnivora,Mustelidae,Phylacine,6789.133333,3.831814338,Large,medium,Non-Herbivore,Phylacine
Arvernoceros,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,large,Herbivore,Phylacine
Arvicola,Rodentia,Cricetidae,Phylacine,180.8333333,2.257278488,Small,small,Herbivore,Phylacine
Aselliscus,Chiroptera,Hipposideridae,Phylacine,4.5,0.653212514,Small,small,Non-Herbivore,Phylacine
Asoletragus,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,large,Herbivore,Phylacine
